measure,label,expected_sign,directed,coverage,set,n_directions,n_pairs,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates
regime_dist_log_effn,"Regime distance |Δ log effective component count| (primary)",negative,false,five_aoi,full,20,10,0.1087,-0.6699,0.7971,0.0973,-0.5281,0.6599,2000
regime_dist_log_effn,"Regime distance |Δ log effective component count| (primary)",negative,false,five_aoi,four_aoi_subset,12,6,0.1414,-0.8356,0.8393,0.0953,-0.7045,0.7133,1999
regime_dist_largest_share,"Regime distance |Δ largest-component share| (secondary)",negative,false,five_aoi,full,20,10,0.1087,-0.6649,0.7662,0.0973,-0.5259,0.6364,2000
regime_dist_largest_share,"Regime distance |Δ largest-component share| (secondary)",negative,false,five_aoi,four_aoi_subset,12,6,0.1414,-0.8393,0.8393,0.0953,-0.7130,0.7522,2000
domain_classifier_auc,"Domain-classifier AUC (marginal separability)",negative,false,five_aoi,full,20,10,-0.3260,-0.8095,0.3587,-0.2487,-0.6848,0.2493,2000
domain_classifier_auc,"Domain-classifier AUC (marginal separability)",negative,false,five_aoi,four_aoi_subset,12,6,-0.3675,-0.8393,0.7017,-0.2225,-0.7522,0.6334,2000
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",negative,true,four_aoi,full,12,6,-0.1259,-0.6739,0.3696,-0.1212,-0.5928,0.2258,2000
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",negative,true,four_aoi,four_aoi_subset,12,6,-0.1259,-0.6304,0.3478,-0.1212,-0.5862,0.2258,2000
target_p95_dissimilarity,"Predictor-space p95 dissimilarity (Emrehan)",negative,true,four_aoi,full,12,6,-0.1469,-0.6763,0.2446,-0.2121,-0.5926,0.1000,2000
target_p95_dissimilarity,"Predictor-space p95 dissimilarity (Emrehan)",negative,true,four_aoi,four_aoi_subset,12,6,-0.1469,-0.6917,0.2393,-0.2121,-0.6000,0.1000,2000
fraction_inside_weighted_aoa,"Fraction of target inside weighted AoA (Emrehan)",positive,true,four_aoi,full,12,6,0.2098,-0.4783,0.6232,0.1212,-0.3333,0.3871,2000
fraction_inside_weighted_aoa,"Fraction of target inside weighted AoA (Emrehan)",positive,true,four_aoi,four_aoi_subset,12,6,0.2098,-0.4348,0.6232,0.1212,-0.3333,0.3871,2000
climate_distance,"Climatic distance (Emrehan, TerraClimate)",negative,false,four_aoi,full,12,6,0.0283,-0.8367,0.8356,0.0318,-0.7081,0.7081,2000
climate_distance,"Climatic distance (Emrehan, TerraClimate)",negative,false,four_aoi,four_aoi_subset,12,6,0.0283,-0.8528,0.8367,0.0318,-0.7522,0.7126,2000
geographic_distance_km,"Geographic centroid distance km (Emrehan)",negative,false,four_aoi,full,12,6,-0.1696,-0.8671,0.8393,-0.0953,-0.7918,0.7258,2000
geographic_distance_km,"Geographic centroid distance km (Emrehan)",negative,false,four_aoi,four_aoi_subset,12,6,-0.1696,-0.8528,0.8393,-0.0953,-0.7845,0.7126,1999
unweighted_fraction_inside_support,"Fraction of target inside unweighted support (Emrehan)",positive,true,four_aoi,full,12,6,0.0839,-0.9209,0.7609,0.0000,-0.8333,0.5667,2000
unweighted_fraction_inside_support,"Fraction of target inside unweighted support (Emrehan)",positive,true,four_aoi,four_aoi_subset,12,6,0.0839,-0.8652,0.7609,0.0000,-0.7742,0.5667,2000
