subset,measure,label,family,expected_sign,published_n,n_directions,n_pairs,n_undefined_directions,seed_offset,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates,n_degenerate_replicates,ci_excludes_zero
four_region_12dir,agree_fraction_supported,"Agreement fraction, supported features","P(y|x) conditional",+,16,12,6,0,103,0.8703,0.6523,0.8847,0.7423,0.5680,0.7878,1971,29,true
four_region_12dir,cosine_supported,"Cosine, supported features","P(y|x) conditional",+,16,12,6,0,105,0.8516,0.4264,0.8847,0.7169,0.3922,0.7878,1995,5,true
four_region_12dir,cosine_9,"Cosine, all 9 features","P(y|x) conditional",+,20,12,6,0,102,0.5513,-0.4114,0.8393,0.4132,-0.3167,0.7522,2000,0,false
four_region_12dir,vector_spearman_9,"Vector Spearman, all 9","P(y|x) conditional",+,20,12,6,0,101,0.0989,-0.7926,0.8393,0.0953,-0.6363,0.7126,1999,1,false
four_region_12dir,agree_count_9,"Agreement count, all 9","P(y|x) conditional",+,20,12,6,0,100,0.0509,-0.8281,0.8369,0.0683,-0.7006,0.7428,1997,3,false
four_region_12dir,schoener_d_mean1d,"Schoener's D, 1D mean","P(x|y=1) niche",+,20,12,6,0,200,0.3675,-0.7171,0.8367,0.2225,-0.5988,0.7126,2000,0,false
four_region_12dir,warren_i_mean1d,"Warren's I, 1D mean","P(x|y=1) niche",+,20,12,6,0,201,0.3675,-0.7171,0.8367,0.2225,-0.5988,0.7133,1999,1,false
four_region_12dir,schoener_d_pca2d,"Schoener's D, PCA-2D","P(x|y=1) niche",+,20,12,6,0,202,0.3958,-0.7330,0.8796,0.2860,-0.6334,0.7749,2000,0,false
four_region_12dir,warren_i_pca2d,"Warren's I, PCA-2D","P(x|y=1) niche",+,20,12,6,0,203,0.3958,-0.7330,0.8796,0.2860,-0.6334,0.7749,2000,0,false
four_region_12dir,mahalanobis_burned,"Mahalanobis, burned centroids","P(x|y=1) niche",-,20,12,6,0,204,-0.2262,-0.8393,0.7171,-0.1589,-0.7522,0.5963,1999,1,false
