pair,feature,region,signed_auc,ci_low,ci_high,sign_agrees,schoener_d_this_feature
"manavgat_2021 ~ mugla_2021",ndvi_mean,manavgat_2021,0.6359,0.5872,0.6763,true,0.8275
"manavgat_2021 ~ mugla_2021",ndvi_mean,mugla_2021,0.6617,0.6156,0.7035,true,0.8275
"manavgat_2021 ~ mugla_2021",elevation_mean,manavgat_2021,0.3741,0.2891,0.4712,false,0.7754
"manavgat_2021 ~ mugla_2021",elevation_mean,mugla_2021,0.6114,0.5319,0.6904,false,0.7754
"manavgat_2021 ~ mugla_2021",slope_mean,manavgat_2021,0.5310,0.4228,0.6417,true,0.8902
"manavgat_2021 ~ mugla_2021",slope_mean,mugla_2021,0.6368,0.5819,0.6864,true,0.8902
"manavgat_2021 ~ mugla_2021",lst_anomaly_mean,manavgat_2021,0.4824,0.4280,0.5299,true,0.8394
"manavgat_2021 ~ mugla_2021",lst_anomaly_mean,mugla_2021,0.4846,0.3945,0.5661,true,0.8394
"manavgat_2021 ~ mugla_2021",current_lst_mean,manavgat_2021,0.5383,0.4518,0.6205,false,0.8353
"manavgat_2021 ~ mugla_2021",current_lst_mean,mugla_2021,0.3248,0.2714,0.3821,false,0.8353
"manavgat_2021 ~ mugla_2021",current_tvdi_mean,manavgat_2021,0.5520,0.4602,0.6411,false,0.8382
"manavgat_2021 ~ mugla_2021",current_tvdi_mean,mugla_2021,0.3358,0.2754,0.3976,false,0.8382
"manavgat_2021 ~ mugla_2021",tvdi_difference_mean,manavgat_2021,0.4494,0.3905,0.5052,true,0.7701
"manavgat_2021 ~ mugla_2021",tvdi_difference_mean,mugla_2021,0.4900,0.3964,0.5747,true,0.7701
"manavgat_2021 ~ mugla_2021",downscaled_lst_mean,manavgat_2021,0.5521,0.4660,0.6372,false,0.8215
"manavgat_2021 ~ mugla_2021",downscaled_lst_mean,mugla_2021,0.3070,0.2532,0.3658,false,0.8215
"manavgat_2021 ~ mugla_2021",fused_lst_mean,manavgat_2021,0.5401,0.4543,0.6219,false,0.8353
"manavgat_2021 ~ mugla_2021",fused_lst_mean,mugla_2021,0.3252,0.2720,0.3828,false,0.8353
"bejis_2022 ~ montiferru_2021",ndvi_mean,bejis_2022,0.5588,0.4972,0.6193,true,0.5474
"bejis_2022 ~ montiferru_2021",ndvi_mean,montiferru_2021,0.5863,0.4501,0.7044,true,0.5474
"bejis_2022 ~ montiferru_2021",elevation_mean,bejis_2022,0.6433,0.5583,0.7290,true,0.2646
"bejis_2022 ~ montiferru_2021",elevation_mean,montiferru_2021,0.5838,0.3953,0.7623,true,0.2646
"bejis_2022 ~ montiferru_2021",slope_mean,bejis_2022,0.5208,0.4393,0.6053,true,0.7064
"bejis_2022 ~ montiferru_2021",slope_mean,montiferru_2021,0.6520,0.5060,0.7705,true,0.7064
"bejis_2022 ~ montiferru_2021",lst_anomaly_mean,bejis_2022,0.4180,0.3638,0.4796,true,0.4037
"bejis_2022 ~ montiferru_2021",lst_anomaly_mean,montiferru_2021,0.3952,0.2851,0.5345,true,0.4037
"bejis_2022 ~ montiferru_2021",current_lst_mean,bejis_2022,0.4767,0.4012,0.5475,true,0.4765
"bejis_2022 ~ montiferru_2021",current_lst_mean,montiferru_2021,0.3705,0.2478,0.5130,true,0.4765
"bejis_2022 ~ montiferru_2021",current_tvdi_mean,bejis_2022,0.5173,0.4290,0.5952,false,0.7728
"bejis_2022 ~ montiferru_2021",current_tvdi_mean,montiferru_2021,0.3555,0.2332,0.4991,false,0.7728
"bejis_2022 ~ montiferru_2021",tvdi_difference_mean,bejis_2022,0.5125,0.4432,0.5829,false,0.2262
"bejis_2022 ~ montiferru_2021",tvdi_difference_mean,montiferru_2021,0.3776,0.2821,0.4965,false,0.2262
"bejis_2022 ~ montiferru_2021",downscaled_lst_mean,bejis_2022,0.4836,0.4004,0.5598,true,0.4415
"bejis_2022 ~ montiferru_2021",downscaled_lst_mean,montiferru_2021,0.3647,0.2403,0.5111,true,0.4415
"bejis_2022 ~ montiferru_2021",fused_lst_mean,bejis_2022,0.4806,0.4039,0.5514,true,0.468
"bejis_2022 ~ montiferru_2021",fused_lst_mean,montiferru_2021,0.3705,0.2478,0.5130,true,0.468
