measure,label,side,expected_sign,n_directions,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,ci_excludes_zero
regime_dist_log_effn,"Regime distance |Δ log effective component count| (primary)","P(y) spatial structure",negative,20,0.1087,-0.6699,0.7971,0.0973,-0.5281,0.6599,false
regime_dist_largest_share,"Regime distance |Δ largest-component share| (secondary)","P(y) spatial structure",negative,20,0.1087,-0.6649,0.7662,0.0973,-0.5259,0.6364,false
domain_classifier_auc,"Domain-classifier AUC (marginal separability)","P(x) marginal",negative,20,-0.3260,-0.8095,0.3587,-0.2487,-0.6848,0.2493,false
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)","P(x) marginal",negative,12,-0.1259,-0.6739,0.3696,-0.1212,-0.5928,0.2258,false
target_p95_dissimilarity,"Predictor-space p95 dissimilarity (Emrehan)","P(x) marginal",negative,12,-0.1469,-0.6763,0.2446,-0.2121,-0.5926,0.1000,false
fraction_inside_weighted_aoa,"Fraction of target inside weighted AoA (Emrehan)","P(x) marginal",positive,12,0.2098,-0.4783,0.6232,0.1212,-0.3333,0.3871,false
climate_distance,"Climatic distance (Emrehan, TerraClimate)","P(x) marginal",negative,12,0.0283,-0.8367,0.8356,0.0318,-0.7081,0.7081,false
geographic_distance_km,"Geographic centroid distance km (Emrehan)","geographic",negative,12,-0.1696,-0.8671,0.8393,-0.0953,-0.7918,0.7258,false
unweighted_fraction_inside_support,"Fraction of target inside unweighted support (Emrehan)","P(x) marginal",positive,12,0.0839,-0.9209,0.7609,0.0000,-0.8333,0.5667,false
agree_count_9,"Sign-agreement count, all 9 features","P(y|x) conditional",positive,20,0.4673,-0.2908,0.7957,0.3060,-0.2660,0.6371,false
vector_spearman_9,"Signed-AUC vector Spearman, all 9 features","P(y|x) conditional",positive,20,0.4347,-0.2073,0.8000,0.3136,-0.1442,0.6481,false
cosine_9,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features","P(y|x) conditional",positive,20,0.4438,-0.2902,0.8033,0.3136,-0.1987,0.6367,false
agree_fraction_supported,"Sign-agreement fraction, features with both CIs excluding 0.5","P(y|x) conditional",positive,18,0.5172,-0.2743,0.8683,0.4339,-0.2365,0.7532,false
vector_spearman_supported,"Signed-AUC vector Spearman, supported features only (n>=3)","P(y|x) conditional",positive,6,0.9562,0.8528,0.9562,0.8944,0.7845,0.8944,true
cosine_supported,"Signed-AUC cosine, supported features only","P(y|x) conditional",positive,18,0.4935,-0.2433,0.8706,0.3882,-0.1538,0.7564,false
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps","P(x|y=1) niche overlap",positive,20,0.0966,-0.5345,0.6302,0.0757,-0.3739,0.4832,false
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps","P(x|y=1) niche overlap",positive,20,0.1902,-0.4264,0.7661,0.1622,-0.3057,0.6246,false
schoener_d_pca2d,"Schoener's D, PCA 2D histogram","P(x|y=1) niche overlap",positive,20,0.0332,-0.5870,0.6302,0.0108,-0.4681,0.4862,false
warren_i_pca2d,"Warren's I, PCA 2D histogram","P(x|y=1) niche overlap",positive,20,-0.0272,-0.6566,0.5601,-0.0324,-0.5014,0.4168,false
mahalanobis_burned,"Mahalanobis distance, burned centroids","P(x|y=1) niche overlap",negative,20,-0.2204,-0.8187,0.4236,-0.2055,-0.6953,0.2895,false
