subset,measure,label,family,expected_sign,published_n,n_directions,n_pairs,n_undefined_directions,seed_offset,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates,n_degenerate_replicates,ci_excludes_zero
four_region_12dir,agree_fraction_supported,"Agreement fraction, supported features","P(y|x) conditional",+,16,12,6,0,103,0.4097,-0.4155,0.8847,0.3482,-0.3651,0.7878,1839,161,false
four_region_12dir,cosine_supported,"Cosine, supported features","P(y|x) conditional",+,16,12,6,0,105,0.4589,-0.5595,0.8393,0.3290,-0.3959,0.7522,1998,2,false
four_region_12dir,cosine_9,"Cosine, all 9 features","P(y|x) conditional",+,20,12,6,0,102,0.2544,-0.7460,0.8393,0.2225,-0.5543,0.7454,2000,0,false
four_region_12dir,vector_spearman_9,"Vector Spearman, all 9","P(y|x) conditional",+,20,12,6,0,101,0.2544,-0.7460,0.8528,0.2225,-0.5543,0.7522,1999,1,false
four_region_12dir,agree_count_9,"Agreement count, all 9","P(y|x) conditional",+,20,12,6,0,100,0.4804,-0.7003,0.8827,0.3414,-0.5543,0.7845,1997,3,false
four_region_12dir,schoener_d_mean1d,"Schoener's D, 1D mean","P(x|y=1) niche",+,20,12,6,0,200,0.0565,-0.7623,0.8153,0.0318,-0.6340,0.6708,2000,0,false
four_region_12dir,warren_i_mean1d,"Warren's I, 1D mean","P(x|y=1) niche",+,20,12,6,0,201,0.0565,-0.7623,0.8226,0.0318,-0.6340,0.6708,1999,1,false
four_region_12dir,schoener_d_pca2d,"Schoener's D, PCA-2D","P(x|y=1) niche",+,20,12,6,0,202,0.2827,-0.7623,0.9293,0.2225,-0.6340,0.8572,2000,0,false
four_region_12dir,warren_i_pca2d,"Warren's I, PCA-2D","P(x|y=1) niche",+,20,12,6,0,203,0.2827,-0.7623,0.9236,0.2225,-0.6340,0.8454,2000,0,false
four_region_12dir,mahalanobis_burned,"Mahalanobis, burned centroids","P(x|y=1) niche",-,20,12,6,0,204,-0.1414,-0.9325,0.7171,-0.1589,-0.8710,0.5217,1999,1,false
four_region_12dir,domain_classifier_auc,"Domain-classifier AUC","P(x) marginal",-,20,12,6,0,4,-0.3675,-0.8528,0.6994,-0.2225,-0.7711,0.6334,1999,1,false
four_region_12dir,target_mean_dissimilarity,"Predictor-space mean dissimilarity","P(x) marginal",-,12,12,6,0,6,-0.1259,-0.6739,0.3696,-0.1212,-0.5928,0.2258,2000,0,false
four_region_12dir,target_p95_dissimilarity,"Predictor-space p95 dissimilarity","P(x) marginal",-,12,12,6,0,8,-0.1469,-0.6763,0.2446,-0.2121,-0.5926,0.1000,2000,0,false
four_region_12dir,fraction_inside_weighted_aoa,"Fraction inside weighted AoA","P(x) marginal",+,12,12,6,0,10,0.2098,-0.4783,0.6232,0.1212,-0.3333,0.3871,2000,0,false
four_region_12dir,unweighted_fraction_inside_support,"Fraction inside unweighted support","P(x) marginal",+,12,12,6,0,16,0.0839,-0.9209,0.7609,0.0000,-0.8333,0.5667,2000,0,false
four_region_12dir,climate_distance,"Climatic distance","P(x) marginal",-,12,12,6,0,12,0.0283,-0.8367,0.8356,0.0318,-0.7081,0.7081,2000,0,false
four_region_12dir,geographic_distance_km,"Geographic distance","geographic",-,12,12,6,0,14,-0.1696,-0.8671,0.8393,-0.0953,-0.7918,0.7258,2000,0,false
four_region_12dir,regime_dist_log_effn,"Regime distance, log effective-N","P(y) spatial structure",-,20,12,6,0,0,0.1414,-0.8528,0.8393,0.0953,-0.7715,0.7454,2000,0,false
four_region_12dir,regime_dist_largest_share,"Regime distance, largest share","P(y) spatial structure",-,20,12,6,0,2,0.1414,-0.8531,0.8393,0.0953,-0.7711,0.7454,2000,0,false
four_region_12dir,vector_spearman_supported,"Vector Spearman, supported (>=3 feats)","P(y|x) conditional",+,2,6,3,6,104,0.9562,0.8528,0.9562,0.8944,0.7845,0.8944,1773,227,true
supported_16dir,agree_fraction_supported,"Agreement fraction, supported features","P(y|x) conditional",+,16,18,9,0,103,0.5172,-0.2743,0.8683,0.4339,-0.2365,0.7532,1990,10,false
supported_16dir,cosine_supported,"Cosine, supported features","P(y|x) conditional",+,16,18,9,0,105,0.4935,-0.2433,0.8706,0.3882,-0.1538,0.7564,2000,0,false
supported_16dir,cosine_9,"Cosine, all 9 features","P(y|x) conditional",+,20,18,9,0,102,0.4230,-0.3728,0.8092,0.2964,-0.2520,0.6606,2000,0,false
supported_16dir,vector_spearman_9,"Vector Spearman, all 9","P(y|x) conditional",+,20,18,9,0,101,0.3981,-0.3007,0.7963,0.2695,-0.2307,0.6300,2000,0,false
supported_16dir,agree_count_9,"Agreement count, all 9","P(y|x) conditional",+,20,18,9,0,100,0.4894,-0.2582,0.8110,0.3247,-0.2486,0.6547,2000,0,false
supported_16dir,schoener_d_mean1d,"Schoener's D, 1D mean","P(x|y=1) niche",+,20,18,9,0,200,0.1742,-0.4510,0.7437,0.1347,-0.3377,0.5843,2000,0,false
supported_16dir,warren_i_mean1d,"Warren's I, 1D mean","P(x|y=1) niche",+,20,18,9,0,201,0.2820,-0.3919,0.8606,0.2425,-0.2705,0.7380,2000,0,false
