feature,arm,manavgat_auc,manavgat_ci,manavgat_supported,others_auc_range,others_sides,manavgat_alone_on_opposite_side
ndvi_mean,frozen,0.636,"[0.587, 0.676]",True,0.559-0.662,+,False
ndvi_mean,corrected,0.564,"[0.499, 0.628]",False,0.559-0.662,+,False
elevation_mean,frozen,0.374,"[0.289, 0.471]",True,0.541-0.643,+,True
elevation_mean,corrected,0.232,"[0.179, 0.288]",True,0.541-0.643,+,True
slope_mean,frozen,0.531,"[0.423, 0.642]",False,0.487-0.652,+-,False
slope_mean,corrected,0.4,"[0.340, 0.459]",True,0.487-0.652,+-,False
lst_anomaly_mean,frozen,0.482,"[0.428, 0.530]",False,0.395-0.640,+-,False
lst_anomaly_mean,corrected,0.509,"[0.460, 0.560]",False,0.395-0.640,+-,False
current_lst_mean,frozen,0.538,"[0.452, 0.621]",False,0.325-0.477,-,True
current_lst_mean,corrected,0.665,"[0.608, 0.719]",True,0.325-0.477,-,True
current_tvdi_mean,frozen,0.552,"[0.460, 0.641]",False,0.336-0.517,+-,False
current_tvdi_mean,corrected,0.677,"[0.622, 0.733]",True,0.336-0.517,+-,False
tvdi_difference_mean,frozen,0.449,"[0.391, 0.505]",False,0.378-0.519,+-,False
tvdi_difference_mean,corrected,0.46,"[0.409, 0.510]",False,0.378-0.519,+-,False
downscaled_lst_mean,frozen,0.552,"[0.466, 0.637]",False,0.307-0.484,-,True
downscaled_lst_mean,corrected,0.683,"[0.626, 0.739]",True,0.307-0.484,-,True
fused_lst_mean,frozen,0.54,"[0.454, 0.622]",False,0.325-0.481,-,True
fused_lst_mean,corrected,0.666,"[0.610, 0.721]",True,0.325-0.481,-,True
