arm,region,feature,auc,ci_low,ci_high,n_burned,burned_median,unburned_median,source_pair,side,supported
frozen,manavgat_2021,ndvi_mean,0.6359169371099176,0.5872285206570871,0.6762849193685545,784,0.5660929977893829,0.513075053691864,manavgat_2021__bejis_2022,+,True
frozen,manavgat_2021,elevation_mean,0.3741075566689391,0.2890796631009303,0.4711534398242251,784,512.3355865478516,904.38232421875,manavgat_2021__bejis_2022,-,True
frozen,manavgat_2021,slope_mean,0.5309574867864721,0.4228454993639831,0.641707826568334,784,18.84978675842285,18.628395080566406,manavgat_2021__bejis_2022,+,False
frozen,manavgat_2021,lst_anomaly_mean,0.4823529005017941,0.4279530417105843,0.5299474237983043,776,-0.4187082052230835,-0.3814146965742111,manavgat_2021__bejis_2022,-,False
frozen,manavgat_2021,current_lst_mean,0.5382779853437281,0.4517622723017039,0.620503038933485,784,35.76262855529785,35.234981536865234,manavgat_2021__bejis_2022,+,False
frozen,manavgat_2021,current_tvdi_mean,0.5520208992479892,0.4602480293883392,0.6410618349429631,784,0.5406115055084229,0.4853242039680481,manavgat_2021__bejis_2022,+,False
frozen,manavgat_2021,tvdi_difference_mean,0.44939202798988,0.3905414223569665,0.5051782545937413,784,-0.0541024785488843,-0.0396156664937734,manavgat_2021__bejis_2022,-,False
frozen,manavgat_2021,downscaled_lst_mean,0.5520694210669516,0.4659633972389294,0.637150621852662,784,35.99583053588867,35.20040512084961,manavgat_2021__bejis_2022,+,False
frozen,manavgat_2021,fused_lst_mean,0.5400826188182982,0.4542805043929701,0.6218679874478806,784,35.76262855529785,35.207313537597656,manavgat_2021__bejis_2022,+,False
frozen,bejis_2022,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,1100,0.5040808022022247,0.4853060990571975,manavgat_2021__bejis_2022,+,False
frozen,bejis_2022,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,1100,935.1695251464844,786.5283813476562,manavgat_2021__bejis_2022,+,True
frozen,bejis_2022,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,1100,14.238033771514893,13.619938850402832,manavgat_2021__bejis_2022,+,False
frozen,bejis_2022,lst_anomaly_mean,0.4179915266529903,0.3637850507544111,0.4795630994864565,1005,0.3338882327079773,0.4591719210147857,manavgat_2021__bejis_2022,-,True
frozen,bejis_2022,current_lst_mean,0.4767477506934928,0.4011532923534438,0.5474889652503846,1016,39.11136817932129,39.2850399017334,manavgat_2021__bejis_2022,-,False
frozen,bejis_2022,current_tvdi_mean,0.5172782323463783,0.4290091381060553,0.595208856020078,1016,0.4889261871576309,0.4708514511585235,manavgat_2021__bejis_2022,+,False
frozen,bejis_2022,tvdi_difference_mean,0.5124941631737097,0.4431549328523628,0.5829402577021532,1016,0.1206768453121185,0.1154667139053344,manavgat_2021__bejis_2022,+,False
frozen,bejis_2022,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,1100,39.2506217956543,39.193389892578125,manavgat_2021__bejis_2022,-,False
frozen,bejis_2022,fused_lst_mean,0.4806129105103555,0.4039472512732557,0.5514025133468518,1100,39.141714096069336,39.18988609313965,manavgat_2021__bejis_2022,-,False
frozen,mugla_2021,ndvi_mean,0.6616527794184797,0.6156274522323434,0.7035074327376446,2911,0.5792964100837708,0.5120380520820618,manavgat_2021__mugla_2021,+,True
frozen,mugla_2021,elevation_mean,0.6114025048859928,0.5319021930545539,0.6904319830630276,2911,563.0870361328125,426.5585021972656,manavgat_2021__mugla_2021,+,True
frozen,mugla_2021,slope_mean,0.6368180084143384,0.5819257681498503,0.68641744780742,2911,19.04078865051269,15.425108909606934,manavgat_2021__mugla_2021,+,True
frozen,mugla_2021,lst_anomaly_mean,0.4845735569026068,0.3945167019229775,0.5660732073894761,2853,-0.2372840195894241,-0.1661216393113136,manavgat_2021__mugla_2021,-,False
frozen,mugla_2021,current_lst_mean,0.324818209196232,0.2713831954453114,0.3821312123411832,2911,35.763214111328125,38.2821102142334,manavgat_2021__mugla_2021,-,True
frozen,mugla_2021,current_tvdi_mean,0.3357699119089857,0.2753568541074757,0.3975750036935558,2911,0.6014605164527893,0.694197416305542,manavgat_2021__mugla_2021,-,True
frozen,mugla_2021,tvdi_difference_mean,0.4900245995441075,0.3964138391440796,0.5747477756769651,2911,-0.0312790647149086,-0.0225907824933528,manavgat_2021__mugla_2021,-,False
frozen,mugla_2021,downscaled_lst_mean,0.3069772529643672,0.2532048192658658,0.3658370610145918,2911,36.00063705444336,38.29333114624024,manavgat_2021__mugla_2021,-,True
frozen,mugla_2021,fused_lst_mean,0.3252143462207417,0.2720012810467721,0.3827633213333897,2911,35.763214111328125,38.262325286865234,manavgat_2021__mugla_2021,-,True
frozen,evia_2021_extended,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,2664,0.6234641373157501,0.559615820646286,manavgat_2021__evia_2021_extended,+,True
