direction,subset,n_pos,n_neg,thermal_auc,baseline_auc,baseline_roc_auc_2cell_lo,baseline_roc_auc_2cell_hi,thermal_roc_auc_2cell_lo,thermal_roc_auc_2cell_hi,delta_roc_auc_2cell_lo,delta_roc_auc_2cell_hi,valid_reps_2cell,baseline_roc_auc_10cell_lo,baseline_roc_auc_10cell_hi,thermal_roc_auc_10cell_lo,thermal_roc_auc_10cell_hi,delta_roc_auc_10cell_lo,delta_roc_auc_10cell_hi,valid_reps_10cell
bejis_2022_to_manavgat_2021,all,2935,17576,0.3141548720223256,0.2965551406246244,0.277643549787875,0.3145916301866884,0.296526452910666,0.3312315457631016,0.00609325679066254,0.030069120145672087,1000,0.22975838000260113,0.36956905417220043,0.261544661350566,0.3741353794936293,-0.00993668008009333,0.05058940619459316,1000
bejis_2022_to_manavgat_2021,early_doy209_212,2151,17576,0.27610183903200913,0.2610011179185005,0.24390958264108495,0.27983557879323817,0.2573658780051125,0.29410855754114035,0.001888990311810508,0.028055744988797704,1000,0.2009695452881992,0.32877997524171587,0.22273597270752524,0.3347977824823152,-0.01817213601344247,0.049099352188000926,1000
bejis_2022_to_manavgat_2021,late_doy213plus,784,17576,0.418558027586319,0.3941019554726761,0.3596228704624985,0.43287446704141397,0.38588280761753474,0.45446116100699374,0.0023755322916284628,0.04715254428162793,1000,0.265680877718895,0.5399970743452278,0.3201487502159071,0.5401346713191942,-0.030253776844887885,0.07687018594777915,1000
evia_2021_extended_to_manavgat_2021,all,2935,17576,0.6768829881850658,0.7273654778585326,0.7117539801670199,0.7425549454277903,0.6583405030650354,0.6950433532558524,-0.06634194037558956,-0.03402448155245904,1000,0.6708322189315348,0.7786162527110895,0.6246362425254106,0.7302962112522721,-0.09985527336239716,-0.0058685093928227215,1000
evia_2021_extended_to_manavgat_2021,early_doy209_212,2151,17576,0.6668645983375749,0.7375566497740991,0.7190414117187508,0.753434319746592,0.6436071838369609,0.6881419444526451,-0.09055983098707192,-0.05105096236024771,1000,0.6772788241002824,0.7907361214431037,0.5991004804419688,0.7312108844464703,-0.1276786065412244,-0.015042060051927085,1000
evia_2021_extended_to_manavgat_2021,late_doy213plus,784,17576,0.7043696674732706,0.6994047498095733,0.664092074441205,0.7340908087714938,0.6699554404896731,0.735478298918111,-0.017742145107625656,0.02680872254652084,1000,0.5694597618307993,0.8001111741820703,0.604249624727456,0.7808609221008046,-0.047827277978185895,0.05346779367341509,1000
montiferru_2021_to_manavgat_2021,all,2935,17576,0.40410656586843297,0.3379486623776111,0.3186586596665694,0.35686295634272597,0.38518579048954804,0.4236089081263764,0.052648076819228944,0.08008351501499698,1000,0.26344297282551843,0.41005321055718075,0.33257041685854044,0.46754973012077033,0.02314252360756649,0.1092748740513713,1000
montiferru_2021_to_manavgat_2021,early_doy209_212,2151,17576,0.3512394839376717,0.2877865658064217,0.2692209459480748,0.30741026139054634,0.3315150597344555,0.3712401776525491,0.048422862858436555,0.07706603023894255,1000,0.2213203105427587,0.36653843741530134,0.2831284227558948,0.4257161252513243,0.015445720801663027,0.11344604123986068,1000
montiferru_2021_to_manavgat_2021,late_doy213plus,784,17576,0.549153878665713,0.4755745166182085,0.441811693934728,0.5097951494450691,0.5227993986383948,0.5793025891246675,0.04765609895994315,0.09831476949408952,1000,0.3616386030182194,0.6015174574475722,0.47583375080063756,0.6315361708024883,0.011655920758277356,0.13195301079350225,1000
mugla_2021_to_manavgat_2021,all,2935,17576,0.3449553227686198,0.4222591457764537,0.4059437494324559,0.43790044064054967,0.3312177854997654,0.358504133842849,-0.09028939213678547,-0.06373874925619628,1000,0.3810977946533975,0.4661254226290983,0.30662783280048783,0.38435941537064666,-0.10887527315996036,-0.04990605267495778,1000
mugla_2021_to_manavgat_2021,early_doy209_212,2151,17576,0.331611317216093,0.39108657054641305,0.3742803873737473,0.40739680348836327,0.31690229880302584,0.34787358449190736,-0.07237683149154228,-0.04629885598789894,1000,0.34228774836811005,0.43653120257589506,0.2888897176743597,0.3721087378525761,-0.09164655091946405,-0.03049328155587033,1000
mugla_2021_to_manavgat_2021,late_doy213plus,784,17576,0.38156623596184036,0.5077849229700984,0.48309192372558235,0.5346555346318733,0.3572468479890937,0.4070105598049429,-0.14971598616079781,-0.10413462632037226,1000,0.4577457981036775,0.5696971768039204,0.33513698043430834,0.44098661687106006,-0.16445624099527462,-0.09033464190118254,1000
