direction,baseline_roc_frozen,thermal_roc_frozen,delta_roc_frozen,d2_lo_frozen,d2_hi_frozen,delta_interpretation_frozen,point_delta_frozen,d10d_lo_frozen,d10d_hi_frozen,dv10_frozen,baseline_roc_corrected,thermal_roc_corrected,delta_roc_corrected,d2_lo_corrected,d2_hi_corrected,delta_interpretation_corrected,point_delta_corrected,d10d_lo_corrected,d10d_hi_corrected,dv10_corrected,dir
manavgat_2021_to_bejis_2022,0.33218736692689854,0.3258336344280276,-0.006353732498870945,-0.023498794765919567,0.009665901714418258,uncertain,-0.00635373249887089,-0.04444902898400737,0.028438725492144136,uncertain,0.37069117362410486,0.3964026711400735,0.02571149751596863,0.010067385914523936,0.04202526728887161,positive_bootstrap_support,0.02571149751596874,-0.012268082434529022,0.06639953840277996,uncertain,Man→Bej
manavgat_2021_to_mugla_2021,0.5079294316533508,0.47015987108700774,-0.03776956056634306,-0.05123946119000268,-0.02440564831046183,negative_bootstrap_support,-0.03776956056634306,-0.07828853888368316,-0.0005191811750500435,negative,0.4656065622633644,0.4376617829318566,-0.027944779331507796,-0.03956934803851443,-0.01606638206930852,negative_bootstrap_support,-0.027944779331507907,-0.05639201212154745,-0.001920573035162852,negative,Man→Mug
manavgat_2021_to_evia_2021_extended,0.5938704664115426,0.6125620551965896,0.018691588785046953,0.0027186054103928966,0.03443470421527556,positive_bootstrap_support,0.01869158878504673,-0.023847579906119236,0.06466047637271802,uncertain,0.6225921429418566,0.6540092625033838,0.03141711956152715,0.016161309864654604,0.045407229258400406,positive_bootstrap_support,0.03141711956152715,-0.005986100305840461,0.07086583600076464,uncertain,Man→Evia
manavgat_2021_to_montiferru_2021,0.5779257792439125,0.5332600780053577,-0.044665701238554845,-0.07748495906629359,-0.01015295918015527,negative_bootstrap_support,-0.044665701238554845,-0.11210689509194928,0.0311870739816791,uncertain,0.5339859997501608,0.5178084473417569,-0.016177552408403906,-0.04657459484842057,0.012581171705892782,uncertain,-0.016177552408403906,-0.08946313305180376,0.05785911073361272,uncertain,Man→Mont
bejis_2022_to_manavgat_2021,0.4209081190391704,0.44352842964630473,0.02262031060713432,-0.0004502040620575576,0.04383313062333805,uncertain,0.02262031060713432,-0.03135790320138974,0.07786509283723755,uncertain,0.2965551406246244,0.3141548720223256,0.017599731397701213,0.006453151436219004,0.02913859948104168,positive_bootstrap_support,0.017599731397701213,-0.013461643809967862,0.04884986702214124,uncertain,Bej→Man
bejis_2022_to_mugla_2021,0.5922389820175834,0.6184747489978263,0.02623576698024288,0.013964379073478531,0.038417779315220786,positive_bootstrap_support,0.02623576698024277,-0.015597309030342506,0.06788498477722087,uncertain,0.5922389820175834,0.6184747489978263,0.02623576698024288,0.013964379073478531,0.038417779315220786,positive_bootstrap_support,0.02623576698024277,-0.015597309030342506,0.06788498477722087,uncertain,Bej→Mug
bejis_2022_to_evia_2021_extended,0.5304609987587828,0.38282143313044736,-0.14763956562833547,-0.16823585193219767,-0.12625328129488408,negative_bootstrap_support,-0.14763956562833563,-0.20184154871196627,-0.09478152520250877,negative,0.5304609987587828,0.38282143313044736,-0.14763956562833547,-0.16823585193219767,-0.12625328129488408,negative_bootstrap_support,-0.14763956562833563,-0.20184154871196627,-0.09478152520250877,negative,Bej→Evia
bejis_2022_to_montiferru_2021,0.5530357779021833,0.5937253341599618,0.04068955625777848,0.005413702712890991,0.07302125389835473,positive_bootstrap_support,0.04068955625777859,-0.04545144456605595,0.1207407895594312,uncertain,0.5530357779021833,0.5937253341599618,0.04068955625777848,0.005413702712890991,0.07302125389835473,positive_bootstrap_support,0.04068955625777859,-0.04545144456605595,0.1207407895594312,uncertain,Bej→Mont
mugla_2021_to_manavgat_2021,0.52151982986128,0.40099966584697444,-0.12052016401430554,-0.14577701437441995,-0.09781475136540495,negative_bootstrap_support,-0.12052016401430554,-0.15730703907266907,-0.08639798839903923,negative,0.4222591457764537,0.3449553227686198,-0.0773038230078339,-0.0894058328393848,-0.06520776883569972,negative_bootstrap_support,-0.077303823007834,-0.10654815760985412,-0.04871857349499184,negative,Mug→Man
mugla_2021_to_bejis_2022,0.4507383379572875,0.5831912381443964,0.13245290018710892,0.10482301635938292,0.15830138925743323,positive_bootstrap_support,0.13245290018710887,0.06541120550485022,0.19219625633291074,positive,0.4507383379572875,0.5831912381443964,0.13245290018710892,0.10482301635938292,0.15830138925743323,positive_bootstrap_support,0.13245290018710887,0.06541120550485022,0.19219625633291074,positive,Mug→Bej
mugla_2021_to_evia_2021_extended,0.5997551855443022,0.6534051763551312,0.053649990810828996,0.0388474820060491,0.06744306947355341,positive_bootstrap_support,0.053649990810828996,0.023078714086171206,0.08330810781078421,positive,0.5997551855443022,0.6534051763551312,0.053649990810828996,0.0388474820060491,0.06744306947355341,positive_bootstrap_support,0.053649990810828996,0.023078714086171206,0.08330810781078421,positive,Mug→Evia
mugla_2021_to_montiferru_2021,0.6105251713018012,0.5312433202707516,-0.07928185103104957,-0.11681152119212697,-0.03739684566491012,negative_bootstrap_support,-0.07928185103104946,-0.16951888983833335,0.021988166334137756,uncertain,0.6105251713018012,0.5312433202707516,-0.07928185103104957,-0.11681152119212697,-0.03739684566491012,negative_bootstrap_support,-0.07928185103104946,-0.16951888983833335,0.021988166334137756,uncertain,Mug→Mont
evia_2021_extended_to_manavgat_2021,0.6757598037187196,0.6857777670301659,0.010017963311446332,-0.01195697730073599,0.03213401224409804,uncertain,0.01001796331144611,-0.03825473751389667,0.05838442690751881,uncertain,0.7273654778585326,0.6768829881850658,-0.0504824896734668,-0.06624667954681769,-0.03435597453133381,negative_bootstrap_support,-0.05048248967346669,-0.09727741990283927,-0.005376083280916452,negative,Evia→Man
evia_2021_extended_to_bejis_2022,0.39173411187818563,0.4480079359958707,0.056273824117685056,0.03705639703252005,0.07722691443499377,positive_bootstrap_support,0.056273824117685,0.01874448430531144,0.10144502162547533,positive,0.39173411187818563,0.4480079359958707,0.056273824117685056,0.03705639703252005,0.07722691443499377,positive_bootstrap_support,0.056273824117685,0.01874448430531144,0.10144502162547533,positive,Evia→Bej
evia_2021_extended_to_mugla_2021,0.5125008374843694,0.576836486299561,0.0643356488151916,0.044362560924691645,0.08288785411034678,positive_bootstrap_support,0.06433564881519149,0.004508833774389779,0.129122482935038,positive,0.5125008374843694,0.576836486299561,0.0643356488151916,0.044362560924691645,0.08288785411034678,positive_bootstrap_support,0.06433564881519149,0.004508833774389779,0.129122482935038,positive,Evia→Mug
