measure,label_frozen,side,expected_sign,n_directions_frozen,spearman_rho_frozen,spearman_ci_low_frozen,spearman_ci_high_frozen,kendall_tau_b_frozen,kendall_ci_low_frozen,kendall_ci_high_frozen,ci_excludes_zero_frozen,label_corrected,n_directions_corrected,spearman_rho_corrected,spearman_ci_low_corrected,spearman_ci_high_corrected,kendall_tau_b_corrected,kendall_ci_low_corrected,kendall_ci_high_corrected,ci_excludes_zero_corrected
regime_dist_log_effn,Regime distance |Δ log effective component count| (primary),P(y) spatial structure,negative,20,0.2898,-0.3787,0.7388,0.1947,-0.2947,0.5834,False,Regime distance |Δ log effective component count| (primary),20,0.1087,-0.6699,0.7971,0.0973,-0.5281,0.6599,False
regime_dist_largest_share,Regime distance |Δ largest-component share| (secondary),P(y) spatial structure,negative,20,0.2898,-0.3895,0.7224,0.1947,-0.3059,0.5657,False,Regime distance |Δ largest-component share| (secondary),20,0.1087,-0.6649,0.7662,0.0973,-0.5259,0.6364,False
domain_classifier_auc,Domain-classifier AUC (marginal separability),P(x) marginal,negative,20,-0.317,-0.7754,0.3276,-0.2379,-0.6246,0.2281,False,Domain-classifier AUC (marginal separability),20,-0.326,-0.8095,0.3587,-0.2487,-0.6848,0.2493,False
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",P(x) marginal,negative,12,-0.1049,-0.5865,0.4565,-0.0303,-0.4483,0.4074,False,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",12,-0.1259,-0.6739,0.3696,-0.1212,-0.5928,0.2258,False
target_p95_dissimilarity,Predictor-space p95 dissimilarity (Emrehan),P(x) marginal,negative,12,-0.0839,-0.5797,0.4662,0.0,-0.4444,0.4008,False,Predictor-space p95 dissimilarity (Emrehan),12,-0.1469,-0.6763,0.2446,-0.2121,-0.5926,0.1,False
fraction_inside_weighted_aoa,Fraction of target inside weighted AoA (Emrehan),P(x) marginal,positive,12,0.2168,-0.5,0.6,0.0909,-0.3548,0.3226,False,Fraction of target inside weighted AoA (Emrehan),12,0.2098,-0.4783,0.6232,0.1212,-0.3333,0.3871,False
climate_distance,"Climatic distance (Emrehan, TerraClimate)",P(x) marginal,negative,12,0.0565,-0.6994,0.7926,0.0318,-0.6334,0.6334,False,"Climatic distance (Emrehan, TerraClimate)",12,0.0283,-0.8367,0.8356,0.0318,-0.7081,0.7081,False
geographic_distance_km,Geographic centroid distance km (Emrehan),geographic,negative,12,-0.2403,-0.8393,0.7175,-0.1589,-0.7455,0.6334,False,Geographic centroid distance km (Emrehan),12,-0.1696,-0.8671,0.8393,-0.0953,-0.7918,0.7258,False
unweighted_fraction_inside_support,Fraction of target inside unweighted support (Emrehan),P(x) marginal,positive,12,0.0769,-0.9248,0.6087,0.0303,-0.8333,0.4836,False,Fraction of target inside unweighted support (Emrehan),12,0.0839,-0.9209,0.7609,0.0,-0.8333,0.5667,False
agree_count_9,"Sign-agreement count, all 9 features",P(y|x) conditional,positive,20,0.1785,-0.4001,0.7183,0.1412,-0.3079,0.5781,False,"Sign-agreement count, all 9 features",20,0.4673,-0.2908,0.7957,0.306,-0.266,0.6371,False
vector_spearman_9,"Signed-AUC vector Spearman, all 9 features",P(y|x) conditional,positive,20,0.2687,-0.3631,0.7651,0.1947,-0.2896,0.601,False,"Signed-AUC vector Spearman, all 9 features",20,0.4347,-0.2073,0.8,0.3136,-0.1442,0.6481,False
cosine_9,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features",P(y|x) conditional,positive,20,0.5042,-0.1668,0.8253,0.3677,-0.1225,0.6848,False,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features",20,0.4438,-0.2902,0.8033,0.3136,-0.1987,0.6367,False
agree_fraction_supported,"Sign-agreement fraction, features with both CIs excluding 0.5",P(y|x) conditional,positive,16,0.8404,0.5765,0.8764,0.7085,0.4956,0.767,True,"Sign-agreement fraction, features with both CIs excluding 0.5",18,0.5172,-0.2743,0.8683,0.4339,-0.2365,0.7532,False
vector_spearman_supported,"Signed-AUC vector Spearman, supported features only (n>=3)",P(y|x) conditional,positive,2,,,,,,,False,"Signed-AUC vector Spearman, supported features only (n>=3)",6,0.9562,0.8528,0.9562,0.8944,0.7845,0.8944,True
cosine_supported,"Signed-AUC cosine, supported features only",P(y|x) conditional,positive,16,0.8054,0.3295,0.8774,0.6708,0.3067,0.768,True,"Signed-AUC cosine, supported features only",18,0.4935,-0.2433,0.8706,0.3882,-0.1538,0.7564,False
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps",P(x|y=1) niche overlap,positive,20,0.2415,-0.4502,0.7415,0.1514,-0.3526,0.5557,False,"Schoener's D, mean of 9 1D overlaps",20,0.0966,-0.5345,0.6302,0.0757,-0.3739,0.4832,False
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps",P(x|y=1) niche overlap,positive,20,0.2234,-0.4233,0.7285,0.1514,-0.3179,0.5539,False,"Warren's I, mean of 9 1D overlaps",20,0.1902,-0.4264,0.7661,0.1622,-0.3057,0.6246,False
schoener_d_pca2d,"Schoener's D, PCA 2D histogram",P(x|y=1) niche overlap,positive,20,0.0966,-0.5108,0.681,0.0649,-0.3889,0.521,False,"Schoener's D, PCA 2D histogram",20,0.0332,-0.587,0.6302,0.0108,-0.4681,0.4862,False
