target,scaling,feature_set,n_train,n_test,roc_auc,roc_ci_low,roc_ci_high,pr_auc,no_skill,brier,best_pairwise_thermal,mean_pairwise_thermal,within_thermal
manavgat_2021,raw,baseline,68762,20511,0.5626,0.5083,0.6175,0.0457,0.0382,0.1713,0.6858,0.5243,0.8696
manavgat_2021,raw,thermal,68762,20511,0.4690,0.4116,0.5290,0.0336,0.0382,0.1470,0.6858,0.5243,0.8696
manavgat_2021,regionwise_z,baseline,68762,20511,0.6465,0.5618,0.7141,0.0706,0.0382,0.1525,0.6858,0.5243,0.8696
manavgat_2021,regionwise_z,thermal,68762,20511,0.6571,0.5426,0.7540,0.0764,0.0382,0.1396,0.6858,0.5243,0.8696
bejis_2022,raw,baseline,74083,15190,0.3894,0.3257,0.4612,0.0543,0.0724,0.1127,0.5832,0.4763,0.9178
bejis_2022,raw,thermal,74083,15190,0.4166,0.3686,0.4670,0.0561,0.0724,0.0950,0.5832,0.4763,0.9178
bejis_2022,regionwise_z,baseline,74083,15190,0.4163,0.3584,0.4773,0.0598,0.0724,0.1706,0.5832,0.4763,0.9178
bejis_2022,regionwise_z,thermal,74083,15190,0.4715,0.4283,0.5164,0.0661,0.0724,0.1651,0.5832,0.4763,0.9178
mugla_2021,raw,baseline,47543,41730,0.5616,0.5038,0.6173,0.0874,0.0698,0.1366,0.6194,0.5712,0.8590
mugla_2021,raw,thermal,47543,41730,0.5519,0.4748,0.6251,0.0885,0.0698,0.1105,0.6194,0.5712,0.8590
mugla_2021,regionwise_z,baseline,47543,41730,0.5641,0.5351,0.5932,0.0840,0.0698,0.1642,0.6194,0.5712,0.8590
mugla_2021,regionwise_z,thermal,47543,41730,0.5216,0.4763,0.5692,0.0794,0.0698,0.1452,0.6194,0.5712,0.8590
evia_2021_extended,raw,baseline,79975,9298,0.5970,0.5390,0.6462,0.3469,0.2865,0.2162,0.6534,0.5587,0.9122
evia_2021_extended,raw,thermal,79975,9298,0.6368,0.5923,0.6784,0.3550,0.2865,0.2054,0.6534,0.5587,0.9122
evia_2021_extended,regionwise_z,baseline,79975,9298,0.5798,0.5404,0.6242,0.4039,0.2865,0.2136,0.6534,0.5587,0.9122
evia_2021_extended,regionwise_z,thermal,79975,9298,0.5692,0.5201,0.6292,0.4092,0.2865,0.2200,0.6534,0.5587,0.9122
montiferru_2021,raw,baseline,86729,2544,0.5956,0.5042,0.6834,0.2844,0.2119,0.2177,0.6467,0.5762,0.8826
montiferru_2021,raw,thermal,86729,2544,0.6011,0.5159,0.6834,0.2646,0.2119,0.1776,0.6467,0.5762,0.8826
montiferru_2021,regionwise_z,baseline,86729,2544,0.5232,0.4692,0.5694,0.2297,0.2119,0.1807,0.6467,0.5762,0.8826
montiferru_2021,regionwise_z,thermal,86729,2544,0.5231,0.4659,0.5703,0.2307,0.2119,0.1814,0.6467,0.5762,0.8826
