population,component_id,size_cells,min_row,min_col,max_row,max_col,touches_edge,approximate_area_km2,burn_date_min,burn_date_max,burn_date_span,burn_date_unique_valid_count
all_valid_burned,1,741,0,261,40,300,True,185.25,214.0,224.0,10.0,10
all_valid_burned,2,29,13,116,19,122,False,7.25,229.0,235.0,6.0,6
all_valid_burned,3,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4
all_valid_burned,4,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1
all_valid_burned,5,969,71,121,100,176,False,242.25,210.0,222.0,12.0,13
all_valid_burned,6,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3
all_valid_burned,7,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14
all_valid_burned,8,11,91,75,93,78,False,2.75,212.0,213.0,1.0,2
all_valid_burned,9,669,131,221,163,261,False,167.25,210.0,219.0,9.0,9
burnable_tree_shrub_grass_burned,1,738,0,261,40,300,True,184.5,214.0,224.0,10.0,10
burnable_tree_shrub_grass_burned,2,2,14,116,15,116,False,0.5,235.0,235.0,0.0,1
burnable_tree_shrub_grass_burned,3,1,19,119,19,119,False,0.25,231.0,231.0,0.0,1
burnable_tree_shrub_grass_burned,4,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4
burnable_tree_shrub_grass_burned,5,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1
burnable_tree_shrub_grass_burned,6,914,71,121,99,176,False,228.5,210.0,222.0,12.0,13
burnable_tree_shrub_grass_burned,7,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3
burnable_tree_shrub_grass_burned,8,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14
burnable_tree_shrub_grass_burned,9,10,91,75,93,78,False,2.5,212.0,213.0,1.0,2
burnable_tree_shrub_grass_burned,10,639,131,222,163,260,False,159.75,210.0,219.0,9.0,9
burnable_tree_shrub_grass_valid_for_modeling_burned,1,738,0,261,40,300,True,184.5,214.0,224.0,10.0,10
burnable_tree_shrub_grass_valid_for_modeling_burned,2,2,14,116,15,116,False,0.5,235.0,235.0,0.0,1
burnable_tree_shrub_grass_valid_for_modeling_burned,3,1,19,119,19,119,False,0.25,231.0,231.0,0.0,1
burnable_tree_shrub_grass_valid_for_modeling_burned,4,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4
burnable_tree_shrub_grass_valid_for_modeling_burned,5,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1
burnable_tree_shrub_grass_valid_for_modeling_burned,6,914,71,121,99,176,False,228.5,210.0,222.0,12.0,13
burnable_tree_shrub_grass_valid_for_modeling_burned,7,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3
burnable_tree_shrub_grass_valid_for_modeling_burned,8,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14
burnable_tree_shrub_grass_valid_for_modeling_burned,9,10,91,75,93,78,False,2.5,212.0,213.0,1.0,2
burnable_tree_shrub_grass_valid_for_modeling_burned,10,639,131,222,163,260,False,159.75,210.0,219.0,9.0,9
