connectivity,min_component_cells,region,component,n_target,auc
8,25,manavgat_2021,1,1135,0.5924204042625612
8,25,manavgat_2021,2,153,0.5330578512396694
8,25,mugla_2021,6,1266,0.5785803535906107
8,25,mugla_2021,1,1244,0.5666955879044957
8,25,mugla_2021,10,940,0.5991166638071321
8,25,mugla_2021,8,954,0.5787525619359246
8,25,mugla_2021,7,133,0.41107617051013273
8,25,evia_2021_extended,1,3059,0.4647921583336273
8,25,montiferru_2021,1,758,0.5837032476086832
8,25,montiferru_2021,5,195,0.45778917910447764
8,25,montiferru_2021,3,104,0.6316964285714285
8,50,manavgat_2021,1,1135,0.5924204042625612
8,50,mugla_2021,6,1266,0.5785803535906107
8,50,mugla_2021,1,1244,0.5666955879044957
8,50,mugla_2021,10,940,0.5991166638071321
8,50,mugla_2021,8,954,0.5787525619359246
8,50,evia_2021_extended,1,3059,0.4647921583336273
8,50,montiferru_2021,1,758,0.5837032476086832
8,50,montiferru_2021,5,195,0.45778917910447764
8,100,manavgat_2021,1,1135,0.5924204042625612
8,100,mugla_2021,6,1266,0.5785803535906107
8,100,mugla_2021,1,1244,0.5666955879044957
8,100,mugla_2021,10,940,0.5991166638071321
8,100,mugla_2021,8,954,0.5787525619359246
8,100,evia_2021_extended,1,3059,0.4647921583336273
8,100,montiferru_2021,1,758,0.5837032476086832
8,200,manavgat_2021,1,1135,0.5924204042625612
8,200,mugla_2021,6,1266,0.5785803535906107
8,200,mugla_2021,1,1244,0.5666955879044957
8,200,mugla_2021,10,940,0.5991166638071321
8,200,mugla_2021,8,954,0.5787525619359246
8,200,evia_2021_extended,1,3059,0.4647921583336273
8,200,montiferru_2021,1,758,0.5837032476086832
4,25,manavgat_2021,1,1135,0.5924204042625612
4,25,manavgat_2021,2,153,0.5330578512396694
4,25,mugla_2021,6,1266,0.5785803535906107
4,25,mugla_2021,1,1244,0.5666955879044957
4,25,mugla_2021,10,940,0.5991166638071321
4,25,mugla_2021,8,954,0.5787525619359246
4,25,mugla_2021,7,133,0.41107617051013273
4,25,evia_2021_extended,1,3059,0.4647921583336273
4,25,montiferru_2021,10,715,0.5791935923544409
4,25,montiferru_2021,5,193,0.45793269230769235
4,25,montiferru_2021,3,104,0.6316964285714285
4,50,manavgat_2021,1,1135,0.5924204042625612
4,50,mugla_2021,6,1266,0.5785803535906107
4,50,mugla_2021,1,1244,0.5666955879044957
4,50,mugla_2021,10,940,0.5991166638071321
4,50,mugla_2021,8,954,0.5787525619359246
4,50,evia_2021_extended,1,3059,0.4647921583336273
4,50,montiferru_2021,10,715,0.5791935923544409
4,50,montiferru_2021,5,193,0.45793269230769235
4,100,manavgat_2021,1,1135,0.5924204042625612
4,100,mugla_2021,6,1266,0.5785803535906107
4,100,mugla_2021,1,1244,0.5666955879044957
4,100,mugla_2021,10,940,0.5991166638071321
4,100,mugla_2021,8,954,0.5787525619359246
4,100,evia_2021_extended,1,3059,0.4647921583336273
4,100,montiferru_2021,10,715,0.5791935923544409
4,200,manavgat_2021,1,1135,0.5924204042625612
4,200,mugla_2021,6,1266,0.5785803535906107
4,200,mugla_2021,1,1244,0.5666955879044957
4,200,mugla_2021,10,940,0.5991166638071321
4,200,mugla_2021,8,954,0.5787525619359246
4,200,evia_2021_extended,1,3059,0.4647921583336273
4,200,montiferru_2021,10,715,0.5791935923544409
