feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.5587527905026131,0.530982585466552
elevation_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.6432824053164721,0.6471984520414713
slope_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.5207878895412608,0.5207375456919672
lst_anomaly_mean,bejis_2022__evia_2021,True,True,True,True,True,3.0,0.4179915266529903,0.5486834003945583
current_lst_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.4767477506934928,0.4157760500201961
current_tvdi_mean,bejis_2022__evia_2021,True,True,True,True,True,3.0,0.5172782323463783,0.3751694819168109
tvdi_difference_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.5124941631737097,0.5211031560249345
downscaled_lst_mean,bejis_2022__evia_2021,True,False,True,False,False,1.0,0.4836430737466933,0.4151860530095732
fused_lst_mean,bejis_2022__evia_2021,True,False,False,False,False,0.0,0.4806129105103555,0.4140581257139712
ndvi_mean,evia_2021__bejis_2022,False,,,,,,,
elevation_mean,evia_2021__bejis_2022,False,,,,,,,
slope_mean,evia_2021__bejis_2022,False,,,,,,,
lst_anomaly_mean,evia_2021__bejis_2022,False,,,,,,,
current_lst_mean,evia_2021__bejis_2022,False,,,,,,,
current_tvdi_mean,evia_2021__bejis_2022,False,,,,,,,
tvdi_difference_mean,evia_2021__bejis_2022,False,,,,,,,
downscaled_lst_mean,evia_2021__bejis_2022,False,,,,,,,
fused_lst_mean,evia_2021__bejis_2022,False,,,,,,,
