experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
bejis_2022,10,9043,0.5953258722843976,416,8627,0.04600243282096649
bejis_2022,20,3743,0.24641211323238973,615,3128,0.16430670585092172
bejis_2022,30,2207,0.14529295589203423,62,2145,0.02809243316719529
bejis_2022,40,168,0.011059907834101382,7,161,0.041666666666666664
bejis_2022,50,19,0.001250822909809085,0,19,0.0
bejis_2022,60,6,0.00039499670836076365,0,6,0.0
bejis_2022,80,4,0.00026333113890717575,0,4,0.0
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
