feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,bejis_2022__mugla_2021,True,False,False,False,False,0,0.5587527905026131,0.6616527794184797
elevation_mean,bejis_2022__mugla_2021,True,False,False,False,False,0,0.6432824053164721,0.6114025048859928
slope_mean,bejis_2022__mugla_2021,True,False,False,False,False,0,0.5207878895412608,0.6368180084143384
lst_anomaly_mean,bejis_2022__mugla_2021,True,True,False,False,False,1,0.4179915266529903,0.4845735569026068
current_lst_mean,bejis_2022__mugla_2021,True,False,False,False,False,0,0.4767477506934928,0.324818209196232
current_tvdi_mean,bejis_2022__mugla_2021,True,True,True,True,True,3,0.5172782323463783,0.3357699119089857
tvdi_difference_mean,bejis_2022__mugla_2021,True,False,True,True,True,2,0.5124941631737097,0.4900245995441075
downscaled_lst_mean,bejis_2022__mugla_2021,True,False,True,False,False,1,0.4836430737466933,0.3069772529643672
fused_lst_mean,bejis_2022__mugla_2021,True,False,False,False,False,0,0.4806129105103555,0.3252143462207417
ndvi_mean,mugla_2021__bejis_2022,True,False,False,False,False,0,0.6616527794184797,0.5587527905026131
elevation_mean,mugla_2021__bejis_2022,True,False,False,False,False,0,0.6114025048859928,0.6432824053164721
slope_mean,mugla_2021__bejis_2022,True,False,False,False,False,0,0.6368180084143384,0.5207878895412608
lst_anomaly_mean,mugla_2021__bejis_2022,True,True,False,False,False,1,0.4845735569026068,0.4179915266529903
current_lst_mean,mugla_2021__bejis_2022,True,False,False,False,False,0,0.324818209196232,0.4767477506934928
current_tvdi_mean,mugla_2021__bejis_2022,True,True,True,True,True,3,0.3357699119089857,0.5172782323463783
tvdi_difference_mean,mugla_2021__bejis_2022,True,False,True,True,True,2,0.4900245995441075,0.5124941631737097
downscaled_lst_mean,mugla_2021__bejis_2022,True,False,True,False,False,1,0.3069772529643672,0.4836430737466933
fused_lst_mean,mugla_2021__bejis_2022,True,False,False,False,False,0,0.3252143462207417,0.4806129105103555
