experiment_a,experiment_b,feature,experiment_a_auc,experiment_b_auc,point_direction_reversal,reversal_status,bootstrap_supported_direction_reversal,auc_difference,auc_difference_ci_low,auc_difference_ci_high
bejis_2022,manavgat_2021,ndvi_mean,0.5587527905026131,0.6359169371099176,False,no_direction_reversal,False,0.07716414660730453,0.00012531661544428849,0.15477752312550216
bejis_2022,manavgat_2021,elevation_mean,0.6432824053164721,0.37410755666893913,True,bootstrap_supported_direction_reversal,True,-0.26917484864753294,-0.3969671255670697,-0.13797717444545035
bejis_2022,manavgat_2021,slope_mean,0.5207878895412608,0.5309574867864721,False,no_direction_reversal,False,0.010169597245211381,-0.1257433164930201,0.14539287859205083
bejis_2022,manavgat_2021,lst_anomaly_mean,0.4179915266529903,0.4823529005017941,False,no_direction_reversal,False,0.0643613738488038,-0.016399375747452136,0.13903694209908374
bejis_2022,manavgat_2021,current_lst_mean,0.47674775069349284,0.5382779853437281,True,point_direction_reversal_interval_uncertain,False,0.061530234650235216,-0.05107642527687199,0.169314381581861
bejis_2022,manavgat_2021,current_tvdi_mean,0.5172782323463783,0.5520208992479892,False,no_direction_reversal,False,0.034742666901610986,-0.09131574600660754,0.1593800886357545
bejis_2022,manavgat_2021,tvdi_difference_mean,0.5124941631737097,0.44939202798988004,True,point_direction_reversal_interval_uncertain,False,-0.06310213518382962,-0.15814393309935346,0.031943853130857854
bejis_2022,manavgat_2021,downscaled_lst_mean,0.4836430737466933,0.5520694210669516,True,point_direction_reversal_interval_uncertain,False,0.06842634732025826,-0.04869212969828818,0.18257387605860367
bejis_2022,manavgat_2021,fused_lst_mean,0.4806129105103555,0.5400826188182982,True,point_direction_reversal_interval_uncertain,False,0.05946970830794274,-0.05190783436273211,0.16880991575704352
bejis_2022,mugla_2021,ndvi_mean,0.5587527905026131,0.6616527794184797,False,no_direction_reversal,False,0.1028999889158666,0.027420987400278367,0.17987212094845592
bejis_2022,mugla_2021,elevation_mean,0.6432824053164721,0.6114025048859928,False,no_direction_reversal,False,-0.03187990043047928,-0.14822913485175998,0.0833934412740623
bejis_2022,mugla_2021,slope_mean,0.5207878895412608,0.6368180084143384,False,no_direction_reversal,False,0.11603011887307768,0.013085840683347305,0.21208567749198154
bejis_2022,mugla_2021,lst_anomaly_mean,0.4179915266529903,0.4845735569026068,False,no_direction_reversal,False,0.06658203024961651,-0.0427275908857639,0.164363128106447
bejis_2022,mugla_2021,current_lst_mean,0.47674775069349284,0.324818209196232,False,no_direction_reversal,False,-0.15192954149726084,-0.24481972446531564,-0.06318264987514709
bejis_2022,mugla_2021,current_tvdi_mean,0.5172782323463783,0.3357699119089857,True,point_direction_reversal_interval_uncertain,False,-0.18150832043739257,-0.28442456926314674,-0.08134541964355957
bejis_2022,mugla_2021,tvdi_difference_mean,0.5124941631737097,0.49002459954410754,True,point_direction_reversal_interval_uncertain,False,-0.02246956362960212,-0.1350717413973996,0.08852153538385675
bejis_2022,mugla_2021,downscaled_lst_mean,0.4836430737466933,0.30697725296436723,False,no_direction_reversal,False,-0.17666582078232607,-0.27547087180087965,-0.08189710148677978
bejis_2022,mugla_2021,fused_lst_mean,0.4806129105103555,0.32521434622074175,False,no_direction_reversal,False,-0.15539856428961374,-0.2480174978410034,-0.0653349150292475
manavgat_2021,mugla_2021,ndvi_mean,0.6359169371099176,0.6616527794184797,False,no_direction_reversal,False,0.025735842308562074,-0.03898025522313852,0.09128100492219998
manavgat_2021,mugla_2021,elevation_mean,0.37410755666893913,0.6114025048859928,True,bootstrap_supported_direction_reversal,True,0.23729494821705366,0.1017669803139547,0.3604662729341169
manavgat_2021,mugla_2021,slope_mean,0.5309574867864721,0.6368180084143384,False,no_direction_reversal,False,0.1058605216278663,-0.02056994793889731,0.2257301759326965
manavgat_2021,mugla_2021,lst_anomaly_mean,0.4823529005017941,0.4845735569026068,False,no_direction_reversal,False,0.002220656400812704,-0.10231802951315264,0.10193048116253917
manavgat_2021,mugla_2021,current_lst_mean,0.5382779853437281,0.324818209196232,True,point_direction_reversal_interval_uncertain,False,-0.21345977614749606,-0.312986312105036,-0.11019755591466895
manavgat_2021,mugla_2021,current_tvdi_mean,0.5520208992479892,0.3357699119089857,True,point_direction_reversal_interval_uncertain,False,-0.21625098733900355,-0.3224957174501582,-0.10408224409145575
manavgat_2021,mugla_2021,tvdi_difference_mean,0.44939202798988004,0.49002459954410754,False,no_direction_reversal,False,0.0406325715542275,-0.0719148691708279,0.1462905893083834
manavgat_2021,mugla_2021,downscaled_lst_mean,0.5520694210669516,0.30697725296436723,True,point_direction_reversal_interval_uncertain,False,-0.24509216810258433,-0.34731905088968845,-0.1372305902105311
manavgat_2021,mugla_2021,fused_lst_mean,0.5400826188182982,0.32521434622074175,True,point_direction_reversal_interval_uncertain,False,-0.21486827259755648,-0.3142587349059439,-0.11142410809562268
