feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,manavgat_2021__evia_2021_extended,True,False,False,False,False,0.0,0.6359169371099176,0.6391494562092995
elevation_mean,manavgat_2021__evia_2021_extended,True,False,True,True,True,2.0,0.3741075566689391,0.540559580910425
slope_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.5309574867864721,0.486543098344048
lst_anomaly_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.4823529005017941,0.6400549435604515
current_lst_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.5382779853437281,0.376519076673484
current_tvdi_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.5520208992479892,0.3618882658736981
tvdi_difference_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.44939202798988,0.5191031776643451
downscaled_lst_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.5520694210669516,0.3765491129362415
fused_lst_mean,manavgat_2021__evia_2021_extended,True,True,True,True,True,3.0,0.5400826188182982,0.3756612638414718
ndvi_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
elevation_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
slope_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
lst_anomaly_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
current_lst_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
current_tvdi_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
tvdi_difference_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
downscaled_lst_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
fused_lst_mean,evia_2021_extended__manavgat_2021,False,,,,,,,
