feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,manavgat_2021__mugla_2021,True,False,False,False,False,0,0.6359169371099176,0.6616527794184797
elevation_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.3741075566689391,0.6114025048859928
slope_mean,manavgat_2021__mugla_2021,True,False,False,False,False,0,0.5309574867864721,0.6368180084143384
lst_anomaly_mean,manavgat_2021__mugla_2021,True,True,False,False,False,1,0.4823529005017941,0.4845735569026068
current_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.5382779853437281,0.324818209196232
current_tvdi_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.5520208992479892,0.3357699119089857
tvdi_difference_mean,manavgat_2021__mugla_2021,True,True,False,False,False,1,0.44939202798988,0.4900245995441075
downscaled_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.5520694210669516,0.3069772529643672
fused_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.5400826188182982,0.3252143462207417
ndvi_mean,mugla_2021__manavgat_2021,True,False,False,False,False,0,0.6616527794184797,0.6359169371099176
elevation_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.6114025048859928,0.3741075566689391
slope_mean,mugla_2021__manavgat_2021,True,False,False,False,False,0,0.6368180084143384,0.5309574867864721
lst_anomaly_mean,mugla_2021__manavgat_2021,True,True,False,False,False,1,0.4845735569026068,0.4823529005017941
current_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.324818209196232,0.5382779853437281
current_tvdi_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3357699119089857,0.5520208992479892
tvdi_difference_mean,mugla_2021__manavgat_2021,True,True,False,False,False,1,0.4900245995441075,0.44939202798988
downscaled_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3069772529643672,0.5520694210669516
fused_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3252143462207417,0.5400826188182982
