experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
montiferru_2021,10,1759,0.6914308176100629,412,1347,0.23422399090392268
montiferru_2021,20,26,0.010220125786163521,1,25,0.038461538461538464
montiferru_2021,30,636,0.25,91,545,0.1430817610062893
montiferru_2021,40,118,0.046383647798742135,35,83,0.2966101694915254
montiferru_2021,50,2,0.0007861635220125787,0,2,0.0
montiferru_2021,80,3,0.0011792452830188679,0,3,0.0
bejis_2022,10,9043,0.5953258722843976,416,8627,0.04600243282096649
bejis_2022,20,3743,0.24641211323238973,615,3128,0.16430670585092172
bejis_2022,30,2207,0.14529295589203423,62,2145,0.02809243316719529
bejis_2022,40,168,0.011059907834101382,7,161,0.041666666666666664
bejis_2022,50,19,0.001250822909809085,0,19,0.0
bejis_2022,60,6,0.00039499670836076365,0,6,0.0
bejis_2022,80,4,0.00026333113890717575,0,4,0.0
