feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,montiferru_2021__evia_2021_extended,True,False,False,False,False,0.0,0.5862731853113042,0.6391494562092995
elevation_mean,montiferru_2021__evia_2021_extended,True,True,False,False,False,1.0,0.5837706290859124,0.540559580910425
slope_mean,montiferru_2021__evia_2021_extended,True,True,True,True,True,3.0,0.6519721105399766,0.486543098344048
lst_anomaly_mean,montiferru_2021__evia_2021_extended,True,True,True,True,True,3.0,0.395190132275989,0.6400549435604515
current_lst_mean,montiferru_2021__evia_2021_extended,True,False,False,False,False,0.0,0.3704643770906685,0.376519076673484
current_tvdi_mean,montiferru_2021__evia_2021_extended,True,False,False,False,False,0.0,0.3555286181577596,0.3618882658736981
tvdi_difference_mean,montiferru_2021__evia_2021_extended,True,True,True,True,True,3.0,0.3776218081882492,0.5191031776643451
downscaled_lst_mean,montiferru_2021__evia_2021_extended,True,False,False,False,False,0.0,0.364736376795746,0.3765491129362415
fused_lst_mean,montiferru_2021__evia_2021_extended,True,False,False,False,False,0.0,0.3704727050647962,0.3756612638414718
ndvi_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
elevation_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
slope_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
lst_anomaly_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
current_lst_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
current_tvdi_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
tvdi_difference_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
downscaled_lst_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
fused_lst_mean,evia_2021_extended__montiferru_2021,False,,,,,,,
