feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.5862731853113042,0.6616527794184797
elevation_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.5837706290859124,0.6114025048859928
slope_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.6519721105399766,0.6368180084143384
lst_anomaly_mean,montiferru_2021__mugla_2021,True,True,False,False,False,1.0,0.395190132275989,0.4845735569026068
current_lst_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.3704643770906685,0.324818209196232
current_tvdi_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.3555286181577596,0.3357699119089857
tvdi_difference_mean,montiferru_2021__mugla_2021,True,True,False,False,False,1.0,0.3776218081882492,0.4900245995441075
downscaled_lst_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.364736376795746,0.3069772529643672
fused_lst_mean,montiferru_2021__mugla_2021,True,False,False,False,False,0.0,0.3704727050647962,0.3252143462207417
ndvi_mean,mugla_2021__montiferru_2021,False,,,,,,,
elevation_mean,mugla_2021__montiferru_2021,False,,,,,,,
slope_mean,mugla_2021__montiferru_2021,False,,,,,,,
lst_anomaly_mean,mugla_2021__montiferru_2021,False,,,,,,,
current_lst_mean,mugla_2021__montiferru_2021,False,,,,,,,
current_tvdi_mean,mugla_2021__montiferru_2021,False,,,,,,,
tvdi_difference_mean,mugla_2021__montiferru_2021,False,,,,,,,
downscaled_lst_mean,mugla_2021__montiferru_2021,False,,,,,,,
fused_lst_mean,mugla_2021__montiferru_2021,False,,,,,,,
