experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
evia_2021,10,3590,0.9097820577800304,2504,1086,0.6974930362116991
evia_2021,20,30,0.007602635580334516,7,23,0.23333333333333334
evia_2021,30,258,0.06538266599087683,123,135,0.47674418604651164
evia_2021,40,45,0.011403953370501775,17,28,0.37777777777777777
evia_2021,50,8,0.0020273694880892043,3,5,0.375
evia_2021,60,5,0.0012671059300557526,4,1,0.8
evia_2021,80,10,0.002534211860111505,5,5,0.5
