experiment_id,feature,n_total_population,n_complete_case,n_missing,n_burned_complete,n_unburned_complete,missing_rate_burned,missing_rate_unburned,burned_mean,unburned_mean,burned_median,unburned_median,raw_univariate_auc,signed_rank_effect,direction,auc_ci_low,auc_ci_high,valid_replicates,invalid_replicates,bootstrap_stable,support_status
mugla_2021,ndvi_mean,41730,41730,0,2911,38819,0.0,0.0,0.5667468378814952,0.5046669445543635,0.5792964100837708,0.5120380520820618,0.6616527794184797,0.32330555883695933,higher_values_rank_burned,0.6156274522323434,0.7035074327376446,1000,0,True,bootstrap_supported_higher_values_rank_burned
mugla_2021,elevation_mean,41730,41730,0,2911,38819,0.0,0.0,676.69252126506,494.37374225441044,563.0870361328125,426.5585021972656,0.6114025048859928,0.22280500977198558,higher_values_rank_burned,0.5319021930545539,0.6904319830630276,1000,0,True,bootstrap_supported_higher_values_rank_burned
mugla_2021,slope_mean,41730,41730,0,2911,38819,0.0,0.0,19.366382925873236,15.676543958360563,19.040788650512695,15.425108909606934,0.6368180084143384,0.2736360168286769,higher_values_rank_burned,0.5819257681498503,0.68641744780742,1000,0,True,bootstrap_supported_higher_values_rank_burned
mugla_2021,lst_anomaly_mean,41730,40389,1341,2853,37536,0.01992442459635864,0.03305082562662614,-0.1014321293161235,-0.11154022494214376,-0.23728401958942413,-0.16612163931131363,0.4845735569026068,-0.030852886194786433,lower_values_rank_burned,0.3945167019229775,0.5660732073894761,1000,0,True,interval_includes_chance
mugla_2021,current_lst_mean,41730,41475,255,2911,38564,0.0,0.00656894819547129,35.67125494199207,38.383375018875256,35.763214111328125,38.2821102142334,0.324818209196232,-0.350363581607536,lower_values_rank_burned,0.2713831954453114,0.3821312123411832,1000,0,True,bootstrap_supported_lower_values_rank_burned
mugla_2021,current_tvdi_mean,41730,41475,255,2911,38564,0.0,0.00656894819547129,0.5881080218017798,0.6851645011318421,0.6014605164527893,0.694197416305542,0.3357699119089857,-0.3284601761820286,lower_values_rank_burned,0.27535685410747573,0.39757500369355586,1000,0,True,bootstrap_supported_lower_values_rank_burned
mugla_2021,tvdi_difference_mean,41730,41475,255,2911,38564,0.0,0.00656894819547129,-0.011442237613837015,-0.017736266162309014,-0.0312790647149086,-0.02259078249335289,0.49002459954410754,-0.019950800911784916,lower_values_rank_burned,0.3964138391440796,0.5747477756769651,1000,0,True,interval_includes_chance
mugla_2021,downscaled_lst_mean,41730,41730,0,2911,38819,0.0,0.0,35.641358252040135,38.38388967104994,36.00063705444336,38.293331146240234,0.30697725296436723,-0.38604549407126554,lower_values_rank_burned,0.25320481926586585,0.36583706101459185,1000,0,True,bootstrap_supported_lower_values_rank_burned
mugla_2021,fused_lst_mean,41730,41730,0,2911,38819,0.0,0.0,35.67124866890522,38.37474130040733,35.763214111328125,38.262325286865234,0.32521434622074175,-0.3495713075585165,lower_values_rank_burned,0.2720012810467721,0.3827633213333897,1000,0,True,bootstrap_supported_lower_values_rank_burned
evia_2021,ndvi_mean,3946,3946,0,2663,1283,0.0,0.0,0.6144179572657987,0.5978218226207948,0.6236337423324585,0.6052476167678833,0.530982585466552,0.06196517093310394,higher_values_rank_burned,0.39850163823523166,0.6710328076549124,1000,0,True,interval_includes_chance
evia_2021,elevation_mean,3946,3946,0,2663,1283,0.0,0.0,301.1633444666818,235.26696875633343,263.8512878417969,140.13140869140625,0.6471984520414713,0.2943969040829426,higher_values_rank_burned,0.4982210142391625,0.7860616239789883,1000,0,True,interval_includes_chance
evia_2021,slope_mean,3946,3946,0,2663,1283,0.0,0.0,15.367170389124741,15.187994980059466,15.025975227355957,14.652538299560547,0.5207375456919672,0.04147509138393435,higher_values_rank_burned,0.4007798766440036,0.6503769049981563,1000,0,True,interval_includes_chance
evia_2021,lst_anomaly_mean,3946,3812,134,2553,1259,0.04130679684566279,0.018706157443491817,0.580843752788673,0.4336841191937984,0.5381837487220764,0.40747925639152527,0.5486834003945583,0.09736680078911664,higher_values_rank_burned,0.45832651904938176,0.6382436121510005,1000,0,True,interval_includes_chance
evia_2021,current_lst_mean,3946,3927,19,2648,1279,0.005632745024408562,0.003117692907248636,34.45537137553051,35.694534805810854,34.19670104980469,35.242431640625,0.4157760500201961,-0.16844789995960785,lower_values_rank_burned,0.2766384394183707,0.5449509076717998,1000,0,True,interval_includes_chance
evia_2021,current_tvdi_mean,3946,3927,19,2648,1279,0.005632745024408562,0.003117692907248636,0.5152080455756946,0.6092997837034029,0.521240621805191,0.6082099676132202,0.37516948191681093,-0.24966103616637814,lower_values_rank_burned,0.24945073288101532,0.49895814345984313,1000,0,True,bootstrap_supported_lower_values_rank_burned
evia_2021,tvdi_difference_mean,3946,3927,19,2648,1279,0.005632745024408562,0.003117692907248636,-0.0049782064887416615,-0.008251018931311176,0.0029404712840914726,-0.0019022015621885657,0.5211031560249345,0.04220631204986902,higher_values_rank_burned,0.4376357776423534,0.6040288442459625,1000,0,True,interval_includes_chance
evia_2021,downscaled_lst_mean,3946,3921,25,2658,1263,0.001877581674802854,0.01558846453624318,34.477686427785905,35.713364112594256,34.28633689880371,35.16715621948242,0.41518605300957323,-0.16962789398085354,lower_values_rank_burned,0.27226601471476264,0.5534789014729364,1000,0,True,interval_includes_chance
evia_2021,fused_lst_mean,3946,3946,0,2663,1283,0.0,0.0,34.45154639576057,35.71606401010872,34.20717239379883,35.27869415283203,0.41405812571397127,-0.17188374857205746,lower_values_rank_burned,0.27592190177527953,0.5439061745486937,1000,0,True,interval_includes_chance
