experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
evia_2021_extended,10,8021,0.8626586362658636,2511,5510,0.3130532352574492
evia_2021_extended,20,231,0.024844052484405247,6,225,0.025974025974025976
evia_2021_extended,30,899,0.09668745966874596,115,784,0.12791991101223582
evia_2021_extended,40,91,0.009787050978705098,25,66,0.27472527472527475
evia_2021_extended,50,13,0.001398150139815014,2,11,0.15384615384615385
evia_2021_extended,60,18,0.0019359001935900194,3,15,0.16666666666666666
evia_2021_extended,80,24,0.002581200258120026,2,22,0.08333333333333333
evia_2021_extended,90,1,0.00010755001075500108,0,1,0.0
