experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
mugla_2022_event_relative,10,33328,0.8591905130188193,324,33004,0.00972155544887182
mugla_2022_event_relative,20,1779,0.04586233565351895,7,1772,0.0039347948285553686
mugla_2022_event_relative,30,3141,0.08097447795823666,0,3141,0.0
mugla_2022_event_relative,40,309,0.007965970610982212,0,309,0.0
mugla_2022_event_relative,50,85,0.002191286414024233,0,85,0.0
mugla_2022_event_relative,60,45,0.001160092807424594,0,45,0.0
mugla_2022_event_relative,80,96,0.0024748646558391337,0,96,0.0
mugla_2022_event_relative,90,7,0.00018045888115493684,0,7,0.0
