feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,mugla_2021__mugla_2022_event_relative,True,False,False,False,False,0.0,0.6616527794184797,0.7070883898881133
elevation_mean,mugla_2021__mugla_2022_event_relative,True,True,True,True,True,3.0,0.6114025048859928,0.2959098986333702
slope_mean,mugla_2021__mugla_2022_event_relative,True,False,False,False,False,0.0,0.6368180084143384,0.5576758912009643
lst_anomaly_mean,mugla_2021__mugla_2022_event_relative,True,True,False,False,False,1.0,0.4845735569026068,0.3798512570076096
current_lst_mean,mugla_2021__mugla_2022_event_relative,True,False,True,True,True,2.0,0.324818209196232,0.5154764696018888
current_tvdi_mean,mugla_2021__mugla_2022_event_relative,True,True,True,True,True,3.0,0.3357699119089857,0.5935209870439365
tvdi_difference_mean,mugla_2021__mugla_2022_event_relative,True,True,False,False,False,1.0,0.4900245995441075,0.3969948456251598
downscaled_lst_mean,mugla_2021__mugla_2022_event_relative,True,False,True,True,True,2.0,0.3069772529643672,0.5081547829642535
fused_lst_mean,mugla_2021__mugla_2022_event_relative,True,True,True,True,True,3.0,0.3252143462207417,0.518634903619651
ndvi_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
elevation_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
slope_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
lst_anomaly_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
current_lst_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
current_tvdi_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
tvdi_difference_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
downscaled_lst_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
fused_lst_mean,mugla_2022_event_relative__mugla_2021,False,,,,,,,
