direction,target_region,n_target_cells,n_burned,target_prevalence,point_roc_auc,ci_2cell_lo_published,ci_2cell_hi_published,ci_2cell_lo_reproduced,ci_2cell_hi_reproduced,ci_10cell_lo,ci_10cell_hi,n_blocks_2cell,n_blocks_10cell,width_2cell,width_10cell,verdict_2cell,verdict_10cell,verdict_10cell_seed_stable,baseline_roc_auc,delta_roc_auc,delta_ci_2cell_lo_published,delta_ci_2cell_hi_published,delta_ci_2cell_lo_reproduced,delta_ci_2cell_hi_reproduced,delta_ci_10cell_lo,delta_ci_10cell_hi,delta_width_2cell,delta_width_10cell,delta_verdict_2cell,delta_verdict_10cell,delta_verdict_2cell_seed_stable,delta_verdict_10cell_seed_stable
Manavgat_to_Bejis,bejis_2022,15190,1100,0.0724,0.3258,0.3045,0.3489,0.3034,0.3485,0.2664,0.3877,3967,176,0.0452,0.1214,below,below,yes,0.3322,-0.0064,-0.0235,0.0097,-0.0250,0.0108,-0.0444,0.0284,0.0358,0.0729,uncertain,uncertain,yes,yes
Bejis_to_Manavgat,manavgat_2021,20511,784,0.0382,0.4435,0.4078,0.4799,0.4116,0.4795,0.3454,0.5623,5439,237,0.0679,0.2169,below,uncertain,yes,0.4209,0.0226,-0.0004,0.0438,0.0001,0.0459,-0.0314,0.0779,0.0458,0.1092,uncertain,uncertain,no,yes
Manavgat_to_Mugla,mugla_2021,41730,2911,0.0698,0.4702,0.4515,0.4881,0.4537,0.4875,0.4150,0.5243,11316,576,0.0339,0.1094,below,uncertain,yes,0.5079,-0.0378,-0.0512,-0.0244,-0.0511,-0.0249,-0.0783,-0.0005,0.0262,0.0778,negative,negative,yes,no
Mugla_to_Manavgat,manavgat_2021,20511,784,0.0382,0.4010,0.3778,0.4259,0.3773,0.4251,0.3526,0.4552,5439,237,0.0479,0.1025,below,below,yes,0.5215,-0.1205,-0.1458,-0.0978,-0.1447,-0.0980,-0.1573,-0.0864,0.0468,0.0709,negative,negative,yes,yes
Manavgat_to_Evia,evia_2021_extended,9298,2664,0.2865,0.6126,0.5932,0.6314,0.5942,0.6321,0.5608,0.6654,2566,155,0.0379,0.1046,above,above,yes,0.5939,0.0187,0.0027,0.0344,0.0028,0.0346,-0.0238,0.0647,0.0318,0.0885,positive,uncertain,yes,yes
Evia_to_Manavgat,manavgat_2021,20511,784,0.0382,0.6858,0.6529,0.7164,0.6539,0.7179,0.5886,0.7642,5439,237,0.0639,0.1756,above,above,yes,0.6758,0.0100,-0.0120,0.0321,-0.0110,0.0333,-0.0383,0.0584,0.0443,0.0966,uncertain,uncertain,yes,yes
Bejis_to_Mugla,mugla_2021,41730,2911,0.0698,0.6185,0.6008,0.6346,0.6020,0.6339,0.5617,0.6751,11316,576,0.0319,0.1133,above,above,yes,0.5922,0.0262,0.0140,0.0384,0.0134,0.0391,-0.0156,0.0679,0.0258,0.0835,positive,uncertain,yes,yes
Mugla_to_Bejis,bejis_2022,15190,1100,0.0724,0.5832,0.5607,0.6073,0.5584,0.6070,0.5318,0.6364,3967,176,0.0486,0.1046,above,above,yes,0.4507,0.1325,0.1048,0.1583,0.1039,0.1579,0.0654,0.1922,0.0540,0.1268,positive,positive,yes,yes
Bejis_to_Evia,evia_2021_extended,9298,2664,0.2865,0.3828,0.3630,0.4019,0.3634,0.4020,0.3304,0.4306,2566,155,0.0386,0.1003,below,below,yes,0.5305,-0.1476,-0.1682,-0.1263,-0.1722,-0.1249,-0.2018,-0.0948,0.0473,0.1071,negative,negative,yes,yes
Evia_to_Bejis,bejis_2022,15190,1100,0.0724,0.4480,0.4258,0.4699,0.4259,0.4696,0.3942,0.4973,3967,176,0.0437,0.1031,below,below,no,0.3917,0.0563,0.0371,0.0772,0.0364,0.0765,0.0187,0.1014,0.0401,0.0827,positive,positive,yes,yes
Mugla_to_Evia,evia_2021_extended,9298,2664,0.2865,0.6534,0.6364,0.6714,0.6338,0.6721,0.5900,0.7091,2566,155,0.0384,0.1191,above,above,yes,0.5998,0.0536,0.0388,0.0674,0.0391,0.0690,0.0231,0.0833,0.0299,0.0602,positive,positive,yes,yes
Evia_to_Mugla,mugla_2021,41730,2911,0.0698,0.5768,0.5597,0.5925,0.5597,0.5939,0.5202,0.6344,11316,576,0.0342,0.1142,above,above,yes,0.5125,0.0643,0.0444,0.0829,0.0444,0.0830,0.0045,0.1291,0.0386,0.1246,positive,positive,yes,yes
Montiferru_to_Manavgat,manavgat_2021,20511,784,0.0382,0.5670,0.5386,0.5938,0.5407,0.5949,0.4974,0.6441,5439,237,0.0542,0.1468,above,uncertain,yes,0.5018,0.0652,0.0408,0.0913,0.0390,0.0905,0.0094,0.1223,0.0514,0.1128,positive,positive,yes,yes
Manavgat_to_Montiferru,montiferru_2021,2544,539,0.2119,0.5333,0.4878,0.5804,0.4899,0.5763,0.4109,0.6689,743,35,0.0865,0.2580,uncertain,uncertain,yes,0.5779,-0.0447,-0.0775,-0.0102,-0.0798,-0.0109,-0.1121,0.0312,0.0689,0.1433,negative,uncertain,yes,yes
Montiferru_to_Bejis,bejis_2022,15190,1100,0.0724,0.5483,0.5210,0.5782,0.5206,0.5752,0.4789,0.6356,3967,176,0.0546,0.1567,above,uncertain,yes,0.6126,-0.0643,-0.0823,-0.0440,-0.0845,-0.0448,-0.0987,-0.0255,0.0397,0.0732,negative,negative,yes,yes
Bejis_to_Montiferru,montiferru_2021,2544,539,0.2119,0.5937,0.5599,0.6306,0.5545,0.6287,0.4669,0.6870,743,35,0.0742,0.2201,above,uncertain,yes,0.5530,0.0407,0.0054,0.0730,0.0074,0.0739,-0.0455,0.1207,0.0665,0.1662,positive,uncertain,yes,yes
Montiferru_to_Mugla,mugla_2021,41730,2911,0.0698,0.6194,0.6043,0.6343,0.6034,0.6336,0.5704,0.6684,11316,576,0.0303,0.0980,above,above,yes,0.6512,-0.0319,-0.0476,-0.0170,-0.0487,-0.0162,-0.0867,0.0240,0.0324,0.1106,negative,uncertain,yes,yes
